,total,elementary_and_secondary_edu,higher_edu,public_welfare,health_and_hospitals,highways,police,all_other,population_thousands,year,hispanic,white,black,asian,indigneous,total_correctional_pop,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
12,7277.1689453125,2026.9759521484373,638.2161254882812,1113.0179443359377,117.1894302368164,600.4336547851562,275.45822143554693,2505.87744140625,1326.407958984375,2013,3.8,90.3,1.3,2.7,0.1,11100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,7315.9814453125,2069.216552734375,640.3504638671875,1155.650634765625,122.1498565673828,588.439453125,299.1614990234375,2441.01318359375,1333.2230224609375,2014,3.8,90.3,1.3,2.7,0.1,11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,7620.8544921875,2136.772216796875,675.0565185546875,1408.66455078125,132.4468994140625,540.9528198242189,299.9886169433594,2426.97265625,1336.2939453125,2015,3.8,90.3,1.3,2.7,0.1,10900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,8039.16552734375,2178.266357421875,733.9152221679688,1683.00537109375,147.72198486328125,533.7965087890625,293.3551330566406,2469.10498046875,1342.373046875,2016,3.8,90.3,1.3,2.7,0.1,10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,8860.2421875,2155.472900390625,625.5238647460938,2126.35498046875,262.3829345703125,424.8541870117188,350.0410461425781,2915.61181640625,1055.1219482421877,2013,15.4,72.1,5.4,3.6,0.3,24600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,9314.1845703125,2168.787109375,616.086669921875,2402.83447265625,268.30438232421875,450.40655517578125,375.3898010253906,3032.37548828125,1056.0169677734377,2014,15.4,72.1,5.4,3.6,0.3,25100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,9896.7607421875,2220.689208984375,612.727294921875,2772.8193359375,265.17434692382807,420.35443115234375,396.5117492675781,3208.48388671875,1056.1729736328123,2015,15.4,72.1,5.4,3.6,0.3,25300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,10045.255859375,2284.401123046875,645.9520263671875,2818.383544921875,281.09109497070307,427.3595886230469,415.502197265625,3172.56591796875,1057.06298828125,2016,15.4,72.1,5.4,3.6,0.3,24300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,10442.064453125,2435.031494140625,1210.2132568359375,2611.30419921875,503.4940185546875,914.6135864257812,320.9408264160156,2446.467041015625,626.2119750976562,2013,1.9,92.8,1.2,1.8,0.3,8600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,10827.1416015625,2487.167724609375,1224.702392578125,2779.9775390625,566.496826171875,968.22705078125,329.6802062988281,2470.89013671875,625.218017578125,2014,1.9,92.8,1.2,1.8,0.3,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
