,region,total,elementary_and_secondary_edu,higher_edu,public_welfare,health_and_hospitals,highways,police,all_other,population_thousands,year
235,Hawaii,9481.196,1502.6696,801.22723,1931.992,900.914,527.26276,318.86642,3498.2642,1414.862,2014
236,New England,9320.879,2195.715,726.32416,2147.2083,387.00427,541.8815,311.6692,3011.0767,14644.797,2013
237,Connecticut,9429.97,2406.1167,726.0155,1729.546,575.0136,600.27875,311.7523,3081.2463,3594.915,2013
238,Maine,8253.356,1684.8477,596.0581,2294.157,370.81198,691.8738,193.3186,2422.2893,1328.196,2013
239,Massachusetts,9845.226,2201.4597,740.3748,2506.0767,351.56415,452.9996,335.29636,3257.454,6713.944,2013
240,New Hampshire,7277.169,2026.976,638.2161,1113.018,117.18943,600.43365,275.45822,2505.8774,1326.408,2013
241,Rhode Island,8860.242,2155.473,625.52386,2126.355,262.38293,424.8542,350.04105,2915.6118,1055.122,2013
242,Vermont,10442.064,2435.0315,1210.2133,2611.3042,503.49402,914.6136,320.94083,2446.467,626.212,2013
243,Mideast,10493.877,2589.166,739.44507,2295.46,777.81964,571.11993,395.22522,3125.6414,48760.8,2013
244,Delaware,9942.113,2000.1732,1355.8062,2088.2964,593.61566,618.4414,354.32495,2931.4558,923.638,2013
245,District of Columbia,17767.795,3639.4192,244.00282,4907.749,1047.4102,980.38226,860.60626,6088.2246,650.431,2013
246,Maryland,8854.199,2043.9983,945.3175,1736.8278,372.38727,480.32666,391.59317,2883.748,5923.704,2013
247,New Jersey,9597.1045,2811.615,670.59125,1546.704,640.9597,570.88385,388.62738,2967.7236,8858.362,2013
248,New York,12450.795,3007.8777,688.3788,2944.5557,1063.1353,502.06665,474.2937,3770.4875,19628.043,2013
249,Pennsylvania,8539.126,2033.5646,750.8482,1958.4124,621.9581,695.2058,259.28006,2219.8564,12776.621,2013
250,Great Lakes,7895.0527,1772.0299,881.0746,1608.7689,621.55994,482.60977,291.2512,2237.7583,46693.51,2013
251,Illinois,8374.377,1938.884,711.60284,1565.4856,349.21143,564.91284,375.77545,2868.5051,12898.269,2013
252,Indiana,7075.478,1461.554,895.94855,1653.2185,717.5803,386.5594,178.24156,1782.3754,6568.367,2013
253,Michigan,7538.1626,1658.9705,1057.2664,1337.759,866.36456,342.9391,255.9232,2018.94,9913.349,2013
254,Ohio,7966.4644,1852.6447,842.5023,1828.2748,660.6882,440.87994,279.77582,2061.6985,11576.576,2013
255,Wisconsin,8228.346,1785.0582,1018.4436,1680.5502,621.9646,733.09467,314.80655,2074.4275,5736.952,2013
256,Plains,8132.0435,1802.659,898.1701,1568.1396,795.2639,668.04565,265.13403,2134.6316,20870.621,2013
257,Iowa,8824.796,1927.3649,1148.5333,1566.9944,1146.4001,713.0211,223.4538,2099.0278,3093.078,2013
258,Kansas,7806.278,1778.4912,1055.3352,1092.0923,1013.2676,594.9971,275.16547,1996.929,2893.51,2013
259,Minnesota,8810.254,1911.1663,858.60815,2183.412,566.8733,708.03406,305.8563,2276.304,5413.693,2013
260,Missouri,7174.076,1593.6943,636.14856,1382.3441,876.1236,428.6702,270.48294,1986.6124,6040.658,2013
261,Nebraska,8083.792,2043.2548,1080.1206,1334.515,680.4146,705.12714,227.56181,2012.7982,1865.414,2013
262,North Dakota,10298.117,1994.374,1358.6224,1449.4135,297.48932,1849.2754,217.26207,3131.6802,721.999,2013
263,South Dakota,7468.4937,1531.7677,774.6328,1204.7728,325.981,1118.893,207.8799,2304.5662,842.27,2013
264,Southeast,7285.2993,1507.7524,730.2101,1392.0862,830.98804,435.9212,277.40784,2110.9336,80552.805,2013
265,Alabama,8173.8013,1542.0411,1030.4084,1600.3354,1250.5284,484.94553,240.83028,2024.7122,4830.46,2013
266,Arkansas,7100.23,1659.0573,880.93115,1726.457,432.8234,520.7307,216.35931,1663.8711,2959.549,2013
267,Florida,6822.379,1260.2712,487.2305,1214.7418,644.8588,418.4471,365.86768,2430.962,19563.166,2013
268,Georgia,6501.0176,1709.0573,631.4796,1093.6233,666.5583,327.98907,236.53955,1835.7706,9973.326,2013
269,Kentucky,7369.662,1559.961,858.7623,1595.4935,594.5938,572.2031,178.88052,2009.768,4404.817,2013
270,Louisiana,8799.284,1631.1788,657.1929,1581.1656,1092.8057,540.3891,322.72552,2973.8262,4624.577,2013
271,Mississippi,7987.3477,1441.8584,860.7972,1814.7476,1334.4941,549.6867,225.36057,1760.4033,2988.797,2013
272,North Carolina,7562.1196,1363.5217,940.04755,1431.5184,1178.4017,413.38477,278.6171,1956.6284,9843.599,2013
273,South Carolina,7304.0347,1609.7711,775.95575,1302.883,1338.8029,266.23285,227.36739,1783.0219,4764.153,2013
274,Tennessee,6510.6304,1372.1807,564.0031,1594.6829,621.0705,366.92953,266.09473,1725.6688,6493.432,2013
275,Virginia,7855.8447,1878.4172,934.82385,1298.2231,721.65564,509.86768,261.40533,2251.452,8253.053,2013
276,West Virginia,7916.3438,1708.1537,908.2979,1884.4932,391.31808,638.20715,194.5581,2191.3157,1853.873,2013
277,Southwest,6998.8647,1580.2148,904.8422,1272.625,679.44855,464.6599,262.1298,1834.9445,39070.46,2013
278,Arizona,6356.2783,1124.1224,764.6102,1257.0168,531.8465,342.07556,307.9776,2028.6292,6634.999,2013
279,New Mexico,8629.277,1658.1581,1115.0807,1924.403,802.2809,512.50244,311.46097,2305.391,2092.792,2013
280,Oklahoma,7098.884,1479.6288,864.027,1665.7491,561.67554,574.9502,230.07652,1722.7765,3853.205,2013
281,Texas,7016.4585,1702.9291,929.2944,1167.8564,723.8466,475.54163,251.41113,1765.5793,26489.465,2013
282,Rocky Mountain,7816.4023,1571.594,951.3915,1214.4651,742.7942,575.52795,284.05365,2476.5762,11375.626,2013
283,Colorado,7672.6396,1555.3063,884.64716,1117.6576,724.50037,475.56885,310.43213,2604.5273,5270.482,2013
284,Idaho,6825.561,1188.0331,649.0999,1503.352,625.5633,540.0018,248.57497,2070.9358,1611.53,2013
285,Montana,7785.4395,1618.6526,798.9204,1371.2208,497.02832,839.282,294.0446,2366.2905,1013.564,2013
286,Utah,7428.0493,1541.1971,1232.3074,1138.5339,580.45874,544.78424,233.92342,2156.8442,2897.927,2013
287,Wyoming,13848.243,2850.2825,1259.5603,1396.2719,2469.0176,1272.7104,375.6062,4224.7944,582.123,2013
288,Far West [2],8989.8545,1650.2109,885.26,1616.5132,993.56116,502.13974,366.8206,2975.3486,51943.61,2013
289,California,9300.501,1678.1719,900.2416,1753.5621,1015.8278,476.8278,394.2149,3081.6555,38280.824,2013
290,Nevada,6416.4346,1387.9589,440.7167,747.0003,454.015,603.4951,392.0875,2391.161,2776.972,2013
291,Oregon,9074.006,1504.2726,1039.224,1612.1765,1040.0024,512.7403,285.83133,3079.7583,3922.908,2013
292,Washington,8260.9,1683.3003,893.44495,1212.2683,1060.1621,594.9051,251.76385,2565.0557,6962.906,2013
293,Alaska,18206.69,3367.3535,1337.3647,2717.4663,933.14655,1912.3771,508.93365,7430.047,737.045,2013
294,Hawaii,8938.644,1323.8105,1001.6614,1550.3712,768.8315,490.06888,272.99173,3530.9087,1408.453,2013
295,New England,9249.168,2188.185,717.33356,2097.7566,409.07123,527.522,303.31375,3005.9863,14589.87,2012
296,Connecticut,9341.353,2410.7341,698.7771,1688.1564,568.0636,576.5329,307.7895,3091.2986,3594.395,2012
297,Maine,8324.413,1763.1105,601.524,2292.7542,384.47125,673.7968,188.15598,2420.6,1327.691,2012
298,Massachusetts,9735.927,2172.378,724.06445,2438.2556,405.55573,425.02713,325.15332,3245.4922,6663.158,2012
299,New Hampshire,7335.112,2084.0403,700.6991,1129.2122,117.07964,576.43726,264.65866,2462.9846,1323.962,2012
300,Rhode Island,8868.346,2093.7236,639.91785,2138.1584,262.5173,452.33316,341.41916,2940.276,1054.601,2012
301,Vermont,10189.73,2359.5198,1163.4149,2392.0962,450.1943,1049.9918,306.95154,2467.5615,626.063,2012
302,Mideast,10274.409,2459.8408,753.5554,2131.5342,797.6717,565.77484,389.66678,3176.3647,48623.844,2012
303,Delaware,9639.045,2009.5292,1244.4022,2001.0402,579.2362,605.6133,338.5687,2860.6548,915.188,2012
304,District of Columbia,16960.178,3467.9128,268.59348,4512.195,1062.4633,828.09406,888.2004,5932.7188,634.725,2012
305,Maryland,8775.288,2033.6838,1015.5631,1711.8022,379.6981,472.26126,360.6859,2801.5933,5887.072,2012
306,New Jersey,9431.327,2706.4817,680.931,1600.7227,576.9091,512.3526,384.72687,2969.203,8845.483,2012
307,New York,12176.605,2833.9412,720.9309,2602.723,1137.5667,524.8748,474.29227,3882.2769,19574.549,2012
308,Pennsylvania,8346.451,1894.0453,722.0009,1861.4071,624.7188,692.72144,255.57986,2295.9778,12766.827,2012
309,Great Lakes,7791.715,1809.4668,869.3554,1518.2,603.0005,485.1275,280.82184,2225.743,46586.914,2012
310,Illinois,8119.299,1928.4406,688.50415,1458.7928,363.3679,557.7977,355.82114,2766.5745,12884.119,2012
311,Indiana,7016.8164,1500.9489,920.9617,1335.8805,669.2259,424.3952,175.31418,1990.0898,6537.64,2012
312,Michigan,7466.152,1725.9949,1071.8785,1328.9855,819.7923,332.2303,236.4793,1950.7909,9896.93,2012
313,Ohio,7925.9946,1941.7979,760.99005,1770.6017,651.37823,460.0002,279.5044,2061.7224,11548.369,2012
314,Wisconsin,8231.716,1771.3566,1086.1111,1678.1967,594.3011,706.1378,311.86105,2083.7517,5719.855,2012
315,Plains,8177.458,1779.535,883.5818,1594.3239,803.9508,682.38074,261.95648,2171.7292,20750.023,2012
316,Iowa,8924.412,1919.4655,1131.9211,1507.6865,1184.4175,771.24615,223.08594,2186.5896,3076.097,2012
317,Kansas,7774.4165,1763.6119,1068.3124,1060.52,1009.8054,614.9154,255.48761,2001.7637,2885.361,2012
318,Minnesota,8948.251,1876.47,816.75775,2362.3828,573.3366,674.6627,303.67,2340.9714,5376.55,2012
319,Missouri,7247.1357,1577.5809,647.4287,1410.7626,865.97144,479.63132,269.67816,1996.0824,6024.081,2012
320,Nebraska,7958.28,2035.8043,1026.0197,1194.5139,733.7086,658.1562,233.30418,2076.773,1853.323,2012
321,North Dakota,10125.333,1867.7437,1335.033,1423.1525,287.8625,1898.9597,218.46313,3094.1184,701.116,2012
322,South Dakota,7416.6465,1508.5339,768.9491,1167.1982,316.83896,1133.6263,203.21513,2318.2847,833.496,2012
323,Southeast,7278.154,1522.0323,734.26385,1342.7656,817.3981,440.18317,277.39658,2144.1143,79925.87,2012
324,Alabama,7865.316,1500.3243,955.4341,1604.3503,1129.0686,470.61798,234.58,1970.9407,4815.564,2012
325,Arkansas,7117.391,1688.6389,895.2349,1720.864,433.82306,495.38043,202.40208,1681.048,2952.109,2012
326,Florida,6960.1743,1280.1586,496.72382,1185.2233,684.35016,411.70032,378.65698,2523.361,19326.23,2012
327,Georgia,6525.6733,1728.7699,633.66327,1021.4632,685.24646,307.69644,238.96106,1909.8728,9901.496,2012
328,Kentucky,7541.3677,1580.06,855.0543,1636.6481,604.6828,541.8517,174.47208,2148.599,4386.381,2012
329,Louisiana,8994.8545,1799.1053,673.6482,1394.9303,1094.1609,603.4037,322.0604,3107.5454,4600.814,2012
330,Mississippi,8094.5015,1458.6523,895.9312,1703.5593,1296.8575,582.00256,221.8387,1935.6595,2983.767,2012
331,North Carolina,7256.328,1357.1273,979.163,1362.2755,1072.3715,409.37653,278.30566,1797.7087,9749.123,2012
332,South Carolina,7281.7617,1590.332,740.1325,1243.9734,1343.2903,331.94336,224.97008,1807.1201,4717.112,2012
333,Tennessee,6635.668,1399.8865,588.85156,1602.6534,652.76154,371.48514,252.47636,1767.5533,6451.281,2012
334,Virginia,7649.7905,1839.8322,917.6346,1231.5421,649.05133,526.94165,254.52934,2230.2595,8185.229,2012
335,West Virginia,7845.389,1722.5151,914.78564,1748.9514,394.09964,696.9119,196.22957,2171.8958,1856.764,2012
336,Southwest,6977.297,1600.4147,892.81287,1278.2979,682.23035,440.56912,261.714,1821.2583,38552.4,2012
337,Arizona,6319.4746,1204.671,726.9926,1238.8436,562.0789,355.70093,314.396,1916.7917,6556.629,2012
338,New Mexico,8647.976,1697.8169,1134.0658,1928.9019,802.32605,494.84204,309.51608,2280.5068,2087.549,2012
339,Oklahoma,6985.3643,1436.2274,891.15857,1594.4794,562.6798,598.55023,222.95763,1679.3115,3818.6,2012
340,Texas,7007.7563,1716.1074,915.4238,1189.8774,720.31433,434.432,250.32208,1781.279,26089.62,2012
341,Rocky Mountain,7809.8467,1544.0259,956.36365,1166.1091,713.38257,649.51337,278.42453,2502.0278,11222.653,2012
342,Colorado,7656.7266,1538.2141,887.59155,1069.3416,717.4644,479.44604,299.8748,2664.794,5193.721,2012
343,Idaho,6602.876,1161.497,646.7083,1408.5397,556.7326,547.59656,247.98473,2033.817,1595.441,2012
344,Montana,7743.843,1611.9507,785.0479,1322.6199,490.8354,940.9108,287.9869,2304.491,1003.754,2012
345,Utah,7531.2095,1477.1697,1257.328,1109.7717,543.284,761.98883,235.02077,2146.6465,2853.467,2012
346,Wyoming,14026.118,2868.1956,1241.6229,1373.4048,2340.1877,1399.9393,367.63843,4435.1294,576.27,2012
347,Far West [2],8958.17,1679.7196,910.1962,1469.4323,978.8898,507.01773,366.45828,3046.4558,51497.344,2012
348,California,9195.279,1709.2133,945.401,1557.4403,993.31976,479.68573,392.21344,3118.0059,37960.78,2012
349,Nevada,6671.0933,1412.7363,434.8152,758.7094,501.15646,610.87256,396.62775,2556.1758,2744.566,2012
350,Oregon,9161.859,1535.0592,1003.4813,1553.262,1045.0912,518.48804,292.7026,3213.7744,3899.118,2012
351,Washington,8447.779,1705.4272,852.8302,1220.3208,1052.1929,609.7011,254.32709,2752.9805,6892.876,2012
352,Alaska,17259.594,3122.6206,1224.9702,2669.0713,846.1211,1743.9756,468.87112,7183.964,730.399,2012
353,Hawaii,8966.131,1342.4362,1080.1646,1494.5907,766.7024,495.59933,276.50342,3510.1345,1394.905,2012
354,New England,9101.276,2103.25,708.12537,2028.9423,465.72134,463.92865,297.627,3033.682,14529.652,2011
355,Connecticut,9224.495,2340.9526,734.1589,1715.7426,630.38367,431.9426,299.43008,3071.8848,3588.023,2011
356,Maine,8461.632,1823.3837,598.4648,2202.8167,463.09454,689.79333,186.14764,2497.931,1328.15,2011
357,Massachusetts,9408.01,2010.6893,705.67865,2193.842,494.6521,387.46457,320.50375,3295.1797,6613.149,2011
358,New Hampshire,7774.541,2097.5637,638.4705,1585.6919,129.56287,579.8934,266.81998,2476.5388,1319.815,2011
359,Rhode Island,8775.038,2089.7815,584.54767,2213.9983,230.29208,329.29202,339.19675,2987.9302,1053.536,2011
360,Vermont,9856.816,2346.6958,1171.5258,2335.7705,327.04605,957.15967,277.16238,2441.4565,626.979,2011
361,Mideast,10201.193,2466.4558,733.8234,2155.972,763.8649,589.6959,384.77975,3106.6016,48436.79,2011
362,Delaware,9480.453,1910.5967,1178.5927,1934.3889,500.70096,652.1928,322.75635,2981.2249,907.316,2011
363,District of Columbia,17233.96,3509.7144,270.6221,4573.5054,1003.1682,866.0511,953.88654,6057.012,619.602,2011
364,Maryland,8559.695,2059.7458,951.2137,1627.3925,361.43335,506.9655,374.0011,2678.9436,5838.991,2011
365,New Jersey,9245.513,2654.1023,645.9476,1628.996,461.06436,496.85577,377.38242,2981.164,8827.783,2011
366,New York,12087.649,2842.2822,727.772,2585.49,1133.5667,568.7554,464.6623,3765.1206,19498.514,2011
367,Pennsylvania,8438.449,1936.6738,695.2077,2004.2664,599.4593,706.05975,249.3734,2247.4092,12744.583,2011
368,Great Lakes,7830.545,1821.5905,836.1035,1495.8315,618.8731,474.79526,285.28018,2298.0708,46513.074,2011
369,Illinois,8034.8203,1906.1334,675.17444,1359.7986,449.20294,555.92566,359.31006,2729.2751,12867.291,2011
370,Indiana,7041.035,1494.46,847.54724,1301.9323,668.39056,414.722,198.83104,2115.152,6516.045,2011
371,Michigan,7464.69,1772.1515,1034.2156,1340.187,775.50006,351.20312,238.76942,1952.6635,9881.521,2011
372,Ohio,8079.6094,1913.5776,744.18005,1751.5538,692.2308,434.57877,277.05197,2266.4363,11543.463,2011
373,Wisconsin,8401.322,1904.0544,1028.8584,1776.2847,525.2711,655.87726,314.25977,2196.7166,5704.755,2011
374,Plains,8014.9893,1771.8967,860.3051,1556.8273,757.56915,665.9456,263.36725,2139.0781,20639.557,2011
375,Iowa,8628.437,1875.3453,1132.7772,1574.4573,1046.336,687.44257,210.73927,2101.339,3066.054,2011
376,Kansas,8001.151,1832.7598,991.5759,1243.1044,931.9698,612.0277,255.92473,2133.7886,2869.035,2011
377,Minnesota,8840.021,1868.2587,824.147,2222.1804,568.90344,685.6516,309.1578,2361.7227,5345.668,2011
378,Missouri,6924.5557,1573.7639,601.85406,1288.8129,809.22107,528.0364,277.12122,1845.7462,6009.641,2011
379,Nebraska,7848.914,1945.1997,1010.1019,1184.1337,745.82324,623.5867,225.93231,2114.1367,1840.538,2011
380,North Dakota,9456.988,1800.5724,1290.6168,1403.7388,278.43668,1424.0603,231.84448,3027.7185,685.136,2011
381,South Dakota,7552.696,1583.8826,816.49554,1181.3296,347.4676,1116.199,197.51689,2309.8044,823.484,2011
382,Southeast,7289.832,1552.2375,724.3464,1317.5513,834.99536,432.3768,275.23108,2153.0935,79239.445,2011
383,Alabama,7410.0186,1574.2147,1034.7374,1236.0394,1204.0334,456.09955,241.8373,1663.0566,4798.834,2011
384,Arkansas,7063.02,1823.5275,821.6478,1530.7609,458.17773,469.6775,188.95036,1770.2781,2940.407,2011
385,Florida,7174.348,1377.6553,500.7995,1232.6608,696.66394,428.94287,384.95126,2552.6743,19093.352,2011
386,Georgia,6580.7983,1722.278,640.3804,1032.4391,732.0507,296.2414,236.25288,1921.1561,9801.578,2011
387,Kentucky,7391.743,1545.8793,863.8376,1655.2296,606.89264,511.17157,158.91885,2049.8137,4369.488,2011
388,Louisiana,9404.275,1786.538,685.90204,1402.5714,1208.7029,658.36237,333.3737,3328.8254,4575.184,2011
389,Mississippi,8015.6216,1435.5881,869.88556,1739.3917,1261.2388,567.97485,221.8488,1919.6937,2978.47,2011
390,North Carolina,6992.261,1360.0673,961.9978,1179.8737,1067.4233,396.55945,246.791,1779.5486,9656.754,2011
391,South Carolina,7566.9927,1624.9144,718.8544,1418.466,1311.1023,329.74008,228.29173,1935.6241,4671.422,2011
392,Tennessee,6587.6035,1402.9714,519.6123,1572.1243,682.1761,369.86014,266.6276,1774.2314,6397.41,2011
393,Virginia,7551.1445,1811.9883,878.3294,1255.3567,632.6616,447.0456,251.14459,2274.618,8100.469,2011
394,West Virginia,7784.5894,1785.973,854.5597,1744.2758,378.48438,702.1681,192.44762,2126.681,1856.074,2011
395,Southwest,7191.826,1687.7936,910.90924,1313.2303,630.3697,448.40125,273.4791,1927.643,37987.94,2011
396,Arizona,6601.2505,1246.0428,707.80365,1422.0273,453.46216,383.15024,326.9908,2061.7734,6473.497,2011
397,New Mexico,9150.578,1742.8296,1150.1298,2129.583,801.12,570.10614,310.21945,2446.5896,2080.395,2011
398,Oklahoma,6817.7925,1428.1722,886.71564,1434.563,531.49347,638.7371,239.54643,1658.5645,3787.821,2011
399,Texas,7237.2476,1833.1785,946.3442,1201.6265,675.7763,426.88736,262.0033,1891.4316,25646.227,2011
400,Rocky Mountain,7762.264,1572.5396,937.98663,1099.005,717.4682,619.9227,284.1996,2531.1423,11084.26,2011
401,Colorado,7724.111,1598.1417,883.41534,962.8609,737.02106,473.34195,315.99225,2753.3374,5121.771,2011
402,Idaho,6592.295,1198.7375,682.9656,1395.4803,654.66766,632.81366,244.06564,1783.5643,1583.828,2011
403,Montana,8148.8384,1625.9254,799.33234,1416.9897,406.42947,900.4744,268.4059,2731.2812,997.221,2011
404,Utah,7244.5273,1451.3804,1175.5096,1017.4393,538.96326,656.3576,234.0236,2170.8535,2814.216,2011
405,Wyoming,13262.679,2892.3723,1208.1436,1346.1296,2148.7295,1233.488,385.89868,4047.9175,567.224,2011
406,Far West [2],9045.144,1665.5779,901.039,1656.3641,878.29486,437.79367,372.9602,3133.114,51048.004,2011
407,California,9379.376,1688.8497,920.86,1797.7275,886.86255,394.52,403.10178,3287.4543,37641.824,2011
408,Nevada,6903.702,1479.0483,473.10913,864.78613,493.32333,517.7641,419.37534,2656.2957,2712.799,2011
409,Oregon,8198.414,1554.7,1065.101,1468.7633,786.2466,522.94635,284.53937,2516.118,3871.728,2011
410,Washington,8533.025,1674.2732,868.72833,1297.5878,1036.3553,596.44543,238.36562,2821.2695,6821.655,2011
411,Alaska,17565.467,3393.831,1114.4663,2572.2012,864.58887,2330.6086,451.4998,6838.2715,722.038,2011
412,Hawaii,8849.495,1405.6104,951.06335,1556.664,948.2118,409.38638,279.96335,3298.596,1379.252,2011
413,New England,8848.474,2099.12,652.3325,1921.2897,444.43784,456.28735,286.0139,2988.9922,14469.783,2010
414,Connecticut,8955.904,2397.714,675.5699,1565.7151,603.6526,446.27808,292.45612,2974.518,3579.125,2010
415,Maine,8285.451,1805.2759,563.20953,2205.849,483.88184,630.28235,191.5448,2405.4075,1327.632,2010
416,Massachusetts,9142.147,1997.2096,631.7723,2064.134,457.70892,386.4961,297.2053,3307.6213,6566.431,2010
417,New Hampshire,7560.1685,1990.9567,613.3483,1556.7686,132.33676,574.98193,272.56323,2419.213,1316.777,2010
418,Rhode Island,8603.486,2073.2283,573.3639,2142.4534,247.53638,309.34268,348.68655,2908.875,1053.938,2010
419,Vermont,9470.322,2355.266,1139.2024,2246.8765,299.24905,874.3849,254.91148,2300.4314,625.88,2010
420,Mideast,10136.845,2514.059,698.39813,2093.861,746.48535,572.3525,376.33383,3135.3552,48204.184,2010
421,Delaware,9340.551,1859.659,1141.4259,1833.833,521.2101,752.2963,315.58868,2916.538,899.595,2010
422,District of Columbia,17816.805,3675.578,257.75055,4428.0522,1024.1917,929.6743,940.22327,6561.3345,605.085,2010
423,Maryland,8596.447,2096.6018,925.3051,1558.2651,372.1073,537.8156,359.5465,2746.806,5788.642,2010
424,New Jersey,9397.8125,2809.5205,629.4394,1590.1136,492.17853,455.51013,373.0897,3047.9602,8799.624,2010
425,New York,11938.404,2876.6487,674.00995,2525.4907,1118.7673,549.35474,451.51077,3742.6218,19400.08,2010
426,Pennsylvania,8291.141,1937.2563,669.6473,1935.0284,527.5647,674.32294,248.94412,2298.3767,12711.158,2010
427,Great Lakes,7737.397,1829.4861,819.3621,1424.3472,616.96936,497.506,284.51093,2265.2156,46438.54,2010
428,Illinois,7980.792,1907.9373,673.68317,1323.3651,446.6858,640.02496,358.783,2630.3127,12840.762,2010
429,Indiana,7028.5864,1558.4064,839.07245,1260.5162,660.40924,420.49872,197.37149,2092.3118,6490.436,2010
430,Michigan,7474.061,1814.5667,1022.2596,1306.4156,769.3525,373.89014,241.53627,1946.0403,9877.535,2010
431,Ohio,7892.7124,1891.7926,711.9158,1602.5468,694.5953,417.05994,279.3259,2295.476,11539.327,2010
432,Wisconsin,8138.7686,1861.1962,991.3039,1682.4255,529.7545,641.44336,301.4126,2131.2324,5690.479,2010
433,Plains,7985.804,1793.553,848.46783,1526.4434,742.98254,675.74524,263.7784,2134.834,20536.21,2010
434,Iowa,8412.298,1845.5316,1062.6777,1507.8982,1053.9684,755.8404,206.11539,1980.2659,3050.767,2010
435,Kansas,7987.4023,1943.2866,951.85803,1181.4312,850.6119,599.3147,256.39096,2204.5088,2858.213,2010
436,Minnesota,8861.004,1867.794,823.74133,2212.2993,558.8791,719.27826,318.1188,2360.8933,5310.843,2010
437,Missouri,6976.851,1627.2632,615.61707,1234.8378,802.9892,528.6294,274.81247,1892.7021,5995.976,2010
438,Nebraska,7919.7314,1935.1628,1009.7926,1284.059,741.1207,673.145,221.8251,2054.6265,1829.536,2010
439,North Dakota,9027.066,1768.336,1285.3077,1309.822,294.9845,1258.1982,218.9059,2891.512,674.71,2010
440,South Dakota,7390.6357,1516.8661,834.4771,1205.7844,335.28024,965.85736,201.67001,2330.7002,816.165,2010
441,Southeast,7256.3594,1586.1228,700.0248,1272.0897,826.9803,435.01126,273.89172,2162.2388,78571.43,2010
442,Alabama,7440.538,1608.4941,992.8859,1258.1862,1200.4764,442.858,241.95645,1695.6809,4785.448,2010
443,Arkansas,6704.3545,1786.9495,788.9614,1470.457,433.03302,440.9448,185.45451,1598.5544,2921.978,2010
444,Florida,7269.999,1408.3091,484.27466,1176.9156,696.6085,466.2624,393.62128,2644.0076,18845.785,2010
445,Georgia,6579.3447,1802.4745,563.90393,999.40155,708.67224,355.84406,231.57237,1917.476,9711.81,2010
446,Kentucky,7305.1606,1518.0597,859.1785,1631.2203,608.8124,520.6605,159.74265,2007.4868,4348.2,2010
447,Louisiana,9488.1,1767.2325,697.38446,1406.5149,1228.8119,637.42914,318.5505,3432.176,4544.532,2010
448,Mississippi,7970.155,1492.3613,899.2862,1659.2585,1237.778,571.31036,215.5897,1894.5709,2970.536,2010
449,North Carolina,6916.1177,1425.7201,926.0757,1168.1501,1046.2394,352.82053,243.44252,1753.6691,9574.293,2010
450,South Carolina,7594.6255,1710.1483,693.7251,1339.6583,1276.9521,348.9012,223.46632,2001.774,4635.656,2010
451,Tennessee,6429.048,1387.6886,525.81946,1479.5564,688.4667,354.00558,263.83252,1729.6787,6355.301,2010
452,Virginia,7411.528,1867.5022,850.92487,1187.6475,628.7593,397.26895,247.56158,2231.8635,8023.68,2010
453,West Virginia,7405.7847,1732.6182,816.4894,1621.1407,372.6134,667.7579,183.76897,2011.3962,1854.214,2010
454,Southwest,7256.6533,1778.6428,909.0924,1256.3307,621.5579,439.51886,272.95206,1978.5583,37474.67,2010
455,Arizona,6712.728,1300.3485,687.8841,1326.7064,490.05865,412.67404,334.48932,2160.567,6407.774,2010
456,New Mexico,9437.165,1815.553,1180.3546,2176.2336,816.18463,597.70325,314.72333,2536.412,2064.588,2010
457,Oklahoma,7006.9116,1570.8165,988.1182,1435.8586,495.7283,590.5498,227.67867,1698.1617,3759.632,2010
458,Texas,7253.58,1927.991,931.28894,1136.4888,657.7611,410.901,260.65756,1928.4916,25242.68,2010
459,Rocky Mountain,7714.77,1618.0721,911.5265,997.91785,726.78864,648.3751,281.8682,2530.2217,10949.593,2010
460,Colorado,7655.3003,1664.0393,856.96796,845.5607,733.4067,499.8965,313.28168,2742.1477,5048.281,2010
461,Idaho,6619.8135,1293.7261,701.8856,1156.3829,730.35443,618.6648,237.75746,1881.042,1570.773,2010
462,Montana,8164.701,1626.425,820.27045,1343.7845,390.4728,938.87286,260.01038,2784.865,990.722,2010
463,Utah,7113.6143,1437.9332,1106.4315,992.0323,553.51825,689.38696,233.46667,2100.8455,2775.334,2010
464,Wyoming,13459.493,2980.5378,1184.7106,1341.4275,2099.8472,1347.433,400.01028,4105.527,564.483,2010
465,Far West [2],8823.27,1714.7291,870.8324,1347.981,848.6621,484.2755,381.63403,3175.156,50603.8,2010
466,California,9087.914,1750.1113,891.48724,1399.6912,857.0939,444.59692,414.90652,3330.0266,37320.902,2010
467,Nevada,7017.174,1480.2188,485.4407,812.3712,489.588,537.88763,419.63852,2792.0288,2702.464,2010
468,Oregon,8113.9595,1587.9141,1014.3121,1320.6844,741.3035,556.4967,290.79654,2602.4524,3837.532,2010
469,Washington,8486.052,1685.0559,829.31323,1291.9725,1007.0054,641.3004,233.94185,2797.462,6742.902,2010
470,Alaska,17729.752,3397.8325,1018.3231,2479.6318,799.2957,2429.5957,462.97833,7142.094,713.906,2010
471,Hawaii,8945.454,1535.7543,799.6375,1490.9275,892.4597,549.2238,282.37424,3395.0774,1363.963,2010
472,New England,8772.417,2091.6953,656.0733,1864.4993,461.44196,436.2256,276.49997,2985.9817,14403.575,2009
473,Connecticut,8997.986,2403.085,702.3488,1587.2048,632.7883,412.9606,277.36905,2982.2297,3561.807,2009
