,region,total,elementary_and_secondary_edu,higher_edu,public_welfare,health_and_hospitals,highways,police,all_other,population_thousands,year
37,South Carolina,8614.089,1796.0465,884.95044,1589.806,1621.118,456.6393,261.44388,2004.085,5021.219,2017
38,Tennessee,6918.303,1459.0342,559.2427,1745.4194,717.88837,333.71393,295.0502,1807.9543,6708.794,2017
39,Virginia,8704.952,2081.2544,968.5533,1420.82,893.6222,582.00006,297.96518,2460.7368,8465.207,2017
40,West Virginia,9011.908,1706.1884,973.8136,2763.152,422.44785,675.7648,217.16653,2253.3748,1817.048,2017
41,Southwest,7850.4224,1792.3724,1047.4596,1581.7722,738.33856,524.48346,300.72156,1865.2747,41397.63,2017
42,Arizona,6838.154,1169.5247,858.55817,2057.8054,225.75684,357.11368,354.95206,1814.443,7048.876,2017
43,New Mexico,10206.75,1774.0613,1279.9797,2886.4148,872.9676,431.7021,337.2942,2624.3303,2093.395,2017
44,Oklahoma,7458.405,1462.9371,1043.2502,1722.5347,581.5943,660.0528,265.99054,1722.045,3932.64,2017
45,Texas,7982.6235,1994.4808,1077.8712,1347.3243,877.7218,554.1717,289.3441,1841.7095,28322.717,2017
46,Rocky Mountain,8805.034,1744.0308,1162.7631,1481.9921,790.7941,621.8995,297.478,2706.0767,12069.948,2017
47,Colorado,8959.319,1771.6976,1148.8546,1487.1917,646.98157,582.1044,330.23672,2992.253,5615.902,2017
48,Idaho,6765.9355,1282.5836,655.5439,1467.4258,543.103,514.32544,263.86057,2039.0935,1718.904,2017
49,Montana,8967.155,1770.24,923.0512,2121.0059,494.05844,802.03687,299.37708,2557.3865,1053.09,2017
50,Utah,8378.567,1650.8127,1473.6115,1261.7928,928.2132,589.5071,239.48042,2235.15,3103.118,2017
51,Wyoming,15353.643,3297.7058,1573.5334,1492.7073,2724.4453,1173.2771,386.93356,4705.0405,578.934,2017
52,Far West [2],11062.653,2063.984,1023.5811,2571.034,1277.3535,446.32446,442.45178,3237.924,53943.777,2017
53,California,11560.316,2116.1968,1052.7169,2839.9797,1335.0837,394.2292,486.55606,3335.5537,39399.348,2017
54,Nevada,7383.7427,1558.2483,504.10794,1317.044,495.44293,682.8215,426.90247,2399.1758,2972.405,2017
55,Oregon,10807.363,1828.4456,1151.9506,2530.861,1049.2155,511.74338,330.98724,3404.1594,4146.592,2017
56,Washington,10037.281,2120.9214,1005.2467,1668.4135,1411.4352,591.5401,276.90402,2962.8206,7425.432,2017
57,Alaska,17198.201,3172.3457,1145.3907,3483.2695,917.98706,1909.4034,493.79822,6076.0073,739.786,2017
58,Hawaii,9834.08,1452.5577,847.2198,2166.6245,850.0965,423.07242,338.36258,3756.1472,1424.203,2017
59,New England,10166.543,2323.2937,807.2856,2439.5945,455.0194,622.9077,345.27405,3173.1675,14759.146,2016
60,Connecticut,9717.145,2636.658,940.9407,1076.933,657.802,718.70447,349.1053,3337.0012,3578.674,2016
61,Maine,8535.83,1821.1759,610.7701,2385.2324,337.0348,756.2278,217.78319,2407.6057,1331.37,2016
62,Massachusetts,11026.784,2268.1067,760.98114,3202.337,443.93454,563.29047,368.50964,3419.6245,6826.022,2016
63,New Hampshire,8039.1655,2178.2664,733.9152,1683.0054,147.72198,533.7965,293.35513,2469.105,1342.373,2016
64,Rhode Island,10045.256,2284.4011,645.952,2818.3835,281.0911,427.3596,415.5022,3172.566,1057.063,2016
65,Vermont,11595.635,2579.1719,1398.0588,3013.0364,620.84296,964.3723,333.85553,2686.297,623.644,2016
66,Mideast,11551.579,2834.514,813.6978,2665.0432,862.3127,643.1977,424.76947,3308.0447,48940.125,2016
67,Delaware,10470.541,2054.0342,1330.3538,2545.7346,596.18884,617.4559,373.3818,2953.392,949.216,2016
68,District of Columbia,18600.328,3796.8599,231.5013,5513.5464,1056.6377,516.80005,864.21,6620.7725,686.575,2016
69,Maryland,9758.522,2138.7317,1057.4559,2030.2034,387.54544,564.555,442.21103,3137.8196,6004.692,2016
70,New Jersey,10443.683,3040.8374,787.3292,1892.6556,628.1834,549.2999,396.48834,3148.889,8874.516,2016
71,New York,13698.36,3365.5413,728.14545,3314.13,1189.3324,596.18445,505.22388,3999.8025,19641.59,2016
72,Pennsylvania,9566.156,2208.4617,841.85925,2358.0103,754.7226,826.2576,292.80814,2284.0369,12783.538,2016
73,Great Lakes,8545.942,1873.2133,929.9993,1957.2727,677.2515,551.0072,310.05408,2247.1445,46820.09,2016
74,Illinois,8690.717,2068.8933,740.2278,1659.0809,390.55975,741.5354,405.43054,2684.9888,12826.895,2016
75,Indiana,7815.371,1502.6278,970.0302,1924.6887,913.0428,408.1085,188.98402,1907.889,6633.344,2016
76,Michigan,8302.517,1703.3108,1177.6569,1700.9019,904.4031,385.20642,252.12054,2178.9172,9951.89,2016
77,Ohio,8860.806,1990.8657,824.9664,2442.1013,683.62244,511.35474,314.5023,2093.3923,11635.003,2016
78,Wisconsin,8848.776,1920.0201,1090.409,2122.077,638.8945,657.6074,328.15726,2091.6108,5772.958,2016
79,Plains,9062.734,2012.101,986.76074,1876.7128,867.1676,771.3668,291.1514,2257.474,21176.826,2016
80,Iowa,9759.54,2102.4285,1251.2468,1959.0029,1262.7096,826.0657,248.72237,2109.3645,3131.785,2016
81,Kansas,8658.741,1940.122,1188.2568,1376.158,1149.8514,683.5865,270.89755,2049.8694,2911.263,2016
82,Minnesota,10243.411,2214.2068,920.1495,2758.752,595.16595,900.7787,345.49045,2508.868,5523.409,2016
83,Missouri,7546.249,1694.1195,641.22504,1504.5559,997.11066,385.7703,295.6261,2027.8419,6087.203,2016
84,Nebraska,9000.509,2377.0513,1275.8557,1339.1656,626.8713,832.23883,258.77264,2290.553,1905.924,2016
85,North Dakota,12576.966,2483.475,1617.3993,2031.0518,306.4613,2386.9,259.52835,3492.1501,754.353,2016
86,South Dakota,8102.3667,1658.4292,1021.0965,1298.6116,323.20923,1214.0157,233.24641,2353.7578,862.89,2016
87,Southeast,7667.1514,1572.648,753.6507,1564.7017,914.36017,491.25375,294.91708,2075.62,82896.445,2016
88,Alabama,8260.738,1582.9448,1003.4174,1727.6112,1393.8221,496.42828,256.8595,1799.6549,4864.745,2016
89,Arkansas,7957.7725,1701.518,906.7011,2312.3235,481.4079,587.6458,227.52666,1740.6499,2990.41,2016
90,Florida,7048.218,1326.3696,523.4403,1281.6836,675.7946,500.22906,381.46927,2359.2314,20629.982,2016
91,Georgia,6666.7744,1835.739,555.21686,1142.9604,679.78937,401.24844,258.83527,1792.985,10304.763,2016
92,Kentucky,8768.528,1605.5249,985.9212,2525.6064,735.88696,623.36487,171.68785,2120.5366,4438.229,2016
93,Louisiana,8682.037,1695.0127,753.3198,1915.9312,741.4031,511.7219,341.81583,2722.8328,4678.215,2016
